time,ax,ay,az,gx,gy,gz
215466,0.11,0.73,-0.59,-17.95,-339.0,16.93
215629,0.01,0.36,0.88,97.17,-52.35,-81.49
215641,0.18,0.41,0.9,91.38,-92.66,-77.89
215653,0.3,0.44,0.85,77.96,-125.65,-72.59
215665,0.41,0.43,0.77,65.03,-153.82,-67.28
215689,0.69,0.49,0.58,46.5,-184.73,-61.12
215701,0.77,0.6,0.51,38.33,-181.38,-58.26
215713,0.79,0.71,0.45,28.21,-174.92,-52.46
215725,0.82,0.75,0.36,25.03,-165.16,-46.61
215737,0.89,0.81,0.29,28.57,-145.77,-40.33
215749,0.98,0.89,0.23,29.12,-119.92,-38.62
215761,1.01,0.97,0.25,31.44,-93.82,-39.29
215773,0.99,1.02,0.19,37.9,-66.32,-24.17
215785,0.97,1.06,0.18,43.39,-45.4,-22.77
215797,0.97,1.13,0.16,52.78,-29.06,-17.83
215809,0.95,1.24,0.16,62.41,-15.77,-13.5
215821,0.88,1.39,0.12,69.24,-6.07,-9.17
215833,0.89,1.54,0.08,72.29,5.63,-3.01
215845,0.97,1.71,0.07,76.86,21.37,3.39
215857,1.02,1.9,0.14,79.24,38.26,5.77
215869,1.01,1.97,0.18,80.46,51.67,8.33
215881,0.94,1.91,0.21,81.74,57.95,12.54
215893,0.85,1.86,0.22,85.64,57.46,20.34
215905,0.79,1.77,0.22,85.58,54.47,29.43
216062,0.19,0.26,0.4,1.56,11.0,115.77
216074,0.18,0.21,0.41,-3.2,13.19,118.21
216086,0.1,0.21,0.41,-10.45,18.13,117.54
216098,0.07,0.21,0.44,-19.84,19.23,113.76
216122,-0.02,0.19,0.36,-39.11,9.78,101.01
216134,-0.06,0.19,0.28,-43.75,-0.65,90.52
216146,-0.07,0.26,0.22,-44.23,-15.4,77.66
216158,-0.08,0.34,0.2,-41.37,-25.16,60.95
216170,-0.1,0.48,0.19,-38.68,-35.1,38.82
216182,-0.12,0.65,0.18,-40.45,-44.0,14.31
